全国地方公共団体コード,ID,都道府県,市区町村名,名称,名称_カナ,設置目的,実施支援の主な区分,住所,方書,緯度,経度,電話番号1,電話番号1_連絡先備考,電話番号2,電話番号2_連絡先備考,内線番号,FAX番号,URL,メールアドレス1,メールアドレス1_連絡先備考,メールアドレス2,メールアドレス2_連絡先備考,法人番号,運営団体名,開催頻度,開催曜日,開催日,開催開始時間,開催終了時間,開催日時特記事項,参加条件,参加費_幼児,参加費_小学生,参加費_中学生,参加費_高校生,参加費_大人,参加費特記事項,予約方法,予約特記事項,定員,フードパントリー実施,テイクアウト実施,学区,ネットワークの加入,追加情報NO,画像,画像_ライセンス,備考
131130,,東京都,渋谷区,東京西ローターアクトクラブ,トウキョウニシローターアクトクラブ,東京西ローターアクトクラブ会員による社会貢献活動。国際色豊かな食事作り。,,東京都渋谷区幡ヶ谷2-50-2,,,,,,,,,,,,,,,,,,,不定期開催　13時～,13:00,,,,,,,,,,,,,,,笹塚小;中幡小;本町学園小,,,,,
131130,,東京都,渋谷区,ささはたっこ,ササハタッコ,施設内に体育室があり、食後に集団遊びを実施。,,東京都渋谷区笹塚1-50-16,,,,,,,,,,,,,,,,,,,第2金曜日　17時～19時,17:00,19:00,,,,,,,,,,,,,,笹塚小;中幡小;西原小,,,,,
131130,,東京都,渋谷区,やずぴょんち,ヤズピョンチ,鳥取県八頭町の食材を使った食事や大学生考案のワークショップを実施。,,東京都渋谷区幡ヶ谷2-50-2,,,,,,,,,,,,,,,,,,,第3日曜日　12時～15時30分,12:00,15:30,,,,,,,,,,,,,,笹塚小;中幡小,,,,,
131130,,東京都,渋谷区,ささはたカフェガーデン,ササハタカフェガーデン,笹幡包括支援センターのテラスで、子どもから高齢者等を交えて多世代交流をはかる。,,東京都渋谷区幡ヶ谷2-42-15,,,,,,,,,,,,,,,,,,,第4土曜日　12時～15時,12:00,15:00,,,,,,,,,,,,,,笹塚小;中幡小,,,,,
131130,,東京都,渋谷区,FUNNY CURRY,ファニーカリー,株式会社の子ども食堂。多世代交流を目的とし、ミニイベントやワークショップを行う。,,東京都渋谷区幡ヶ谷3-42-8,,,,,,,,,,,,,,,,,,,月1回金曜日　16時～19時,16:00,19:00,,,,,,,,,,,,,,中幡小,,,,,
131130,,東京都,渋谷区,こども食堂ささはたさんち,コドモショクドウササハタサンチ,笹塚地区民生児童委員による温かい食事とコミュニティの場を提供する活動。,,東京都渋谷区笹塚1-20-4,,,,,,,,,,,,,,,,,,,月1回土曜日　17時～,17:00,,,,,,,,,,,,,,,笹塚小;中幡小,,,,,
131130,,東京都,渋谷区,「どなたでも食堂～お夕ご飯の日～」,ドナタデモショクドウオユウゴハンノヒ,就労継続支援B型事業所の職員や来所者も一緒になり、近隣の子どもたちや大人に食事提供や交流を図る。,,東京都渋谷区千駄ヶ谷5-12-9,,,,,,,,,,,,,,,,,,,第3金曜日　17時～,17:00,,,,,,,,,,,,,,,鳩森小;千駄谷小,,,,,
131130,,東京都,渋谷区,みんなの世界テーブル,ミンナノセカイテーブル,毎回、一つの世界をテーマに料理や文化を学ぶ。,,東京都渋谷区代々木2-35-1,,,,,,,,,,,,,,,,,,,月1回　11時30分～14時30分,11:30,14:30,,,,,,,,,,,,,,代々木山谷小;千駄谷小,,,,,
131130,,東京都,渋谷区,pure meat shop｜counter こども食堂,ピュアミートショップウカウンターコドモショクドウ,株式会社ベースファイブによる地域貢献活動。,,東京都渋谷区千駄ヶ谷2-10-6,,,,,,,,,,,,,,,,,,,第4土曜日　10時30分～,10:30,,,,,,,,,,,,,,,神宮前小,,,,,
131130,,東京都,渋谷区,Mama's Kitchen,ママズキッチン,動物性食品を使わず、アレルギーのある子どもでも参加可能。夏には毎年小学生を対象とした夏祭りを実施。,,東京都渋谷区神宮前4-22-11,,,,,,,,,,,,,,,,,,,月1回不定期　17時～19時,17:00,19:00,,,,,,,,,,,,,,神宮前小,,,,,
131130,,東京都,渋谷区,お花屋さんのこどもごはん,オハナヤサンノコドモゴハン,就労継続支援A型事業所。障がいのある職員も関わり、食事提供や、花の知識を活かした活動を実施。,,東京都渋谷区千駄ヶ谷3-54-15,,,,,,,,,,,,,,,,,,,第2金曜日　16時～,16:00,,,,,,,,,,,,,,,千駄谷小,,,,,
131130,,東京都,渋谷区,ななかい子ども食堂,ナナカイコドモショクドウ,食事の提供や人脈を活かし専門家による歌や読み聞かせなどの体験活動も実施。,,東京都渋谷区神宮前3-12-8,,,,,,,,,,,,,,,,,,,月1回土曜日　15時～16時,15:00,16:00,,,,,,,,,,,,,,神宮前小;千駄谷小,,,,,
131130,,東京都,渋谷区,"フレンチシェフ信太竜馬のこども料理教室 ",フレンチシェフノブタリョウマノコドモリョウリキョウシツ,フレンチレストラン「ボネラン」シェフによる、食育活動。,,東京都渋谷区神宮前5-10-1GYRE 4F,,,,,,,,,,,,,,,,,,,月2回　9時～11時30分,9:00,11:30,,,,,,,,,,,,,,神宮前小,,,,,
131130,,東京都,渋谷区,ひといく子ども夢テーブル,ヒトイクコドモユメテーブル,栄養士による食事の提供や、大学生たちによる学習支援を実施。,,東京都渋谷区神宮前6-10-14,,,,,,,,,,,,,,,,,,,第2土曜日　13時～,13:00,,,,,,,,,,,,,,,神宮前小,,,,,
131130,,東京都,渋谷区,Yin Urasando子ども食堂,インウラサンドウコドモショクドウ,店舗内で、無添加の食材を使った食事を提供。,,東京都渋谷区神宮前4-15-2,,,,,,,,,,,,,,,,,,,月1回　17時～,17:00,,,,,,,,,,,,,,,神宮前小,,,,,
